CODE TYPE D'IND.,LIBELLE TYPE D'INDUSTRIES NAEMA REV1 ,Période,Indice
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-03-01,139.1
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-04-01,138.1
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-05-01,138.2
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-06-01,140.6
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-07-01,139.9
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-08-01,142.1
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-09-01,140.9
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-10-01,142.7
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-11-01,139.6
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2021-12-01,144
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2022-01-01,145.1
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2022-02-01,138.6
36,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",2022-03-01,145.5
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-03-01,123.8
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-04-01,108.1
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-05-01,112.8
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-06-01,117.4
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-07-01,129.8
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-08-01,97.7
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-09-01,78.3
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-10-01,92.6
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-11-01,103.5
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2021-12-01,105.6
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2022-01-01,108.1
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2022-02-01,103.7
37,COLLECTE ET TRAITEMENT DES EAUX USEES,2022-03-01,112.5
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-03-01,298.6
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-04-01,294.9
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-05-01,292.7
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-06-01,304.6
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-07-01,306.7
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-08-01,293.7
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-09-01,306.8
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-10-01,320.1
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-11-01,312.2
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2021-12-01,323.9
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2022-01-01,295.3
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2022-02-01,271.1
38,"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",2022-03-01,295.5
