ANNEE,PAYS,RUBRIQUE,DETAILS,TRAFIC ANNUEL (EN TONNE)
2009,MALI,EXPORTATION,Noix de Karité,14975
2009,MALI,EXPORTATION,Tourteaux,0
2009,MALI,EXPORTATION,Coton en fibres,57306
2009,MALI,EXPORTATION,Autres marchandises,5103
2010,MALI,IMPORTATION,Riz,62927
2010,MALI,IMPORTATION,Froment,48600
2010,MALI,IMPORTATION,Autres céréales,847
2010,MALI,IMPORTATION,Farines,507
2010,MALI,IMPORTATION,"Sucre,  Glucose, Sel et Glucose",137237
2010,MALI,IMPORTATION,"Produits laitiers, Œufs",2897
2010,MALI,IMPORTATION,"Profilés, Tôles",1257
2010,MALI,IMPORTATION,Engrais et Prod.ch.,70443
2010,MALI,IMPORTATION,"Cables, Fer à béton",1513
2010,MALI,IMPORTATION,Autres marchandises,75854
2010,MALI,EXPORTATION,Noix de Karité,10947
2010,MALI,EXPORTATION,Tourteaux,0
2010,MALI,EXPORTATION,Coton en fibres,67538
2010,MALI,EXPORTATION,Autres marchandises,3235
2007,NIGER,IMPORTATION,Riz,0
2007,NIGER,IMPORTATION,Ciment,0
2007,NIGER,IMPORTATION,Fer à béton,0
2007,NIGER,IMPORTATION,"Huiles, lubrifiants",0
2007,NIGER,IMPORTATION,"Produits laitiers, Œufs",0
2007,NIGER,IMPORTATION,"Profilés, Tôles",0
2007,NIGER,IMPORTATION,Engrais et Prod.ch.,0
2007,NIGER,IMPORTATION,"Sucre vrac, Sac",0
2007,NIGER,IMPORTATION,Autres marchandises,184
2007,NIGER,EXPORTATION,Sésame,0
2007,NIGER,EXPORTATION,Autres marchandises,0
2008,NIGER,IMPORTATION,Riz,0
2008,NIGER,IMPORTATION,Ciment,0
2008,NIGER,IMPORTATION,Fer à béton,297
2008,NIGER,IMPORTATION,"Huiles, lubrifiants",0
2008,NIGER,IMPORTATION,"Produits laitiers, Œufs",0
2008,NIGER,IMPORTATION,"Profilés, Tôles",0
2008,NIGER,IMPORTATION,Engrais et Prod.ch.,0
2008,NIGER,IMPORTATION,"Sucre vrac, Sac",0
2008,NIGER,IMPORTATION,Autres marchandises,955
2008,NIGER,EXPORTATION,Sésame,0
2008,NIGER,EXPORTATION,Autres marchandises,0
2009,NIGER,IMPORTATION,Riz,10824
2009,NIGER,IMPORTATION,Ciment,0
2009,NIGER,IMPORTATION,Fer à béton,0
2009,NIGER,IMPORTATION,"Huiles, lubrifiants",0
2009,NIGER,IMPORTATION,"Produits laitiers, Œufs",0
2009,NIGER,IMPORTATION,"Profilés, Tôles",0
2009,NIGER,IMPORTATION,Engrais et Prod.ch.,0
2009,NIGER,IMPORTATION,"Sucre vrac, Sac",1003
2009,NIGER,IMPORTATION,Autres marchandises,397
2009,NIGER,EXPORTATION,Sésame,0
2009,NIGER,EXPORTATION,Autres marchandises,0
2010,NIGER,IMPORTATION,Riz,0
2010,NIGER,IMPORTATION,Ciment,0
2010,NIGER,IMPORTATION,Fer à béton,0
2010,NIGER,IMPORTATION,"Huiles, lubrifiants",0
2010,NIGER,IMPORTATION,"Produits laitiers, Œufs",0
2010,NIGER,IMPORTATION,"Profilés, Tôles",0
2010,NIGER,IMPORTATION,Engrais et Prod.ch.,0
2010,NIGER,IMPORTATION,"Sucre vrac, Sac",0
2010,NIGER,IMPORTATION,Autres marchandises,506
2010,NIGER,EXPORTATION,Sésame,0
2010,NIGER,EXPORTATION,Autres marchandises,0
2007,COTE D'IVOIRE,IMPORTATION,Côte d'Ivoire,8353554
2007,COTE D'IVOIRE,IMPORTATION,Transbordement,1775984
2007,COTE D'IVOIRE,IMPORTATION,Burkina  Faso,444403
2007,COTE D'IVOIRE,IMPORTATION,Mali,262159
2007,COTE D'IVOIRE,IMPORTATION,Niger,184
2007,COTE D'IVOIRE,IMPORTATION,Autres pays côtiers,142
2007,COTE D'IVOIRE,EXPORTATION,Côte d'Ivoire,7629684
2007,COTE D'IVOIRE,EXPORTATION,Transbordement,1302528
2007,COTE D'IVOIRE,EXPORTATION,Burkina  Faso,74475
2007,COTE D'IVOIRE,EXPORTATION,Mali,112097
