Année,Statut,Catégorie,Sous-catégorie,Détails,Montant
2014,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Recettes affectées aux collectivités
2014,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,TSU SIR
2014,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Autres recettes affectées et parafiscalité
2015,Réalisé,Ressources budgétaires,Recettes fiscales,DGI ,1343.7
2015,Réalisé,Ressources budgétaires,Recettes fiscales,TRESOR,8.9
2015,Réalisé,Ressources budgétaires,Recettes fiscales,"DGD (hors PCS, PCC et SGS)",1341.9
2015,Réalisé,Ressources budgétaires,Autres ressources intérieures,Privatisation et ventes d'actifs,33.307
2015,Réalisé,Ressources budgétaires,Autres ressources intérieures,Transfert des entreprises/dette rétrocédée,7.648
2015,Réalisé,Ressources budgétaires,Autres ressources intérieures,Autres recettes non fiscales ,263.33624
2015,Réalisé,Ressources budgétaires,Autres ressources intérieures,Intégration de ressources additionnelles C2D,305.596
2015,Réalisé,Ressources budgétaires,Autres ressources intérieures,Arriérés dividendes PETROCI
2015,Réalisé,Ressources budgétaires,Emprunts sur marchés monetaire et financier,,1270.627
2015,Réalisé,Ressources budgétaires,Ressources extérieures,Appuis budgétaires,322.233
2015,Réalisé,Ressources budgétaires,Ressources extérieures,Financement extérieur des projets,250.047
2015,Réalisé,Ressources budgétaires,Ressources extérieures,Restructuration de dettes,0.051
2015,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Fonds d'Investissements en Milieu Rural (FIMR) ,11.267
2015,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Transfert au Fonds d'Entretien Routier (FER),58.69
2015,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Recettes affectées aux collectivités
2015,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,TSU SIR
2015,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Autres recettes affectées et parafiscalité
2016,Réalisé,Ressources budgétaires,Recettes fiscales,DGI ,1525.4
2016,Réalisé,Ressources budgétaires,Recettes fiscales,TRESOR,9.507
2016,Réalisé,Ressources budgétaires,Recettes fiscales,"DGD (hors PCS, PCC et SGS)",1400.5
2016,Réalisé,Ressources budgétaires,Autres ressources intérieures,Privatisation et ventes d'actifs,27.028
2016,Réalisé,Ressources budgétaires,Autres ressources intérieures,Transfert des entreprises/dette rétrocédée,4.883
2016,Réalisé,Ressources budgétaires,Autres ressources intérieures,Autres recettes non fiscales ,67.518
2016,Réalisé,Ressources budgétaires,Autres ressources intérieures,Intégration de ressources additionnelles C2D,1.832
2016,Réalisé,Ressources budgétaires,Autres ressources intérieures,Arriérés dividendes PETROCI
2016,Réalisé,Ressources budgétaires,Emprunts sur marchés monetaire et financier,,1688.254
2016,Réalisé,Ressources budgétaires,Ressources extérieures,Appuis budgétaires,295.336
2016,Réalisé,Ressources budgétaires,Ressources extérieures,Financement extérieur des projets,353.49100000000004
2016,Réalisé,Ressources budgétaires,Ressources extérieures,Restructuration de dettes,0.718
2016,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Fonds d'Investissements en Milieu Rural (FIMR) ,13.57
2016,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Transfert au Fonds d'Entretien Routier (FER),94.405
2016,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Recettes affectées aux collectivités,92.084
2016,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,TSU SIR
2016,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Autres recettes affectées et parafiscalité,233.33499999999998
2017,Réalisé,Ressources budgétaires,Recettes fiscales,DGI ,1631.470528
2017,Réalisé,Ressources budgétaires,Recettes fiscales,TRESOR,8.7
2017,Réalisé,Ressources budgétaires,Recettes fiscales,"DGD (hors PCS, PCC et SGS)",1437.6
2017,Réalisé,Ressources budgétaires,Autres ressources intérieures,Privatisation et ventes d'actifs,23.061
2017,Réalisé,Ressources budgétaires,Autres ressources intérieures,Transfert des entreprises/dette rétrocédée,1.578
2017,Réalisé,Ressources budgétaires,Autres ressources intérieures,Autres recettes non fiscales ,125.772
2017,Réalisé,Ressources budgétaires,Autres ressources intérieures,Intégration de ressources additionnelles C2D,1.305
2017,Réalisé,Ressources budgétaires,Autres ressources intérieures,Arriérés dividendes PETROCI
2017,Réalisé,Ressources budgétaires,Emprunts sur marchés monetaire et financier,,1962.045
2017,Réalisé,Ressources budgétaires,Ressources extérieures,Appuis budgétaires,399.87
2017,Réalisé,Ressources budgétaires,Ressources extérieures,Financement extérieur des projets,387.143
2017,Réalisé,Ressources budgétaires,Ressources extérieures,Restructuration de dettes,0.06
2017,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Fonds d'Investissements en Milieu Rural (FIMR) ,13.588
2017,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Transfert au Fonds d'Entretien Routier (FER),108.169
2017,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Recettes affectées aux collectivités,100.376
2017,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,TSU SIR,55.609
2017,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Autres recettes affectées et parafiscalité,280.8280000000001
2018,Réalisé,Ressources budgétaires,Recettes fiscales,DGI ,1772
2018,Réalisé,Ressources budgétaires,Recettes fiscales,TRESOR,11.253
2018,Réalisé,Ressources budgétaires,Recettes fiscales,"DGD (hors PCS, PCC et SGS)",1420
2018,Réalisé,Ressources budgétaires,Autres ressources intérieures,Privatisation et ventes d'actifs,0
2018,Réalisé,Ressources budgétaires,Autres ressources intérieures,Transfert des entreprises/dette rétrocédée,19.923
2018,Réalisé,Ressources budgétaires,Autres ressources intérieures,Autres recettes non fiscales ,129.70499999999998
2018,Réalisé,Ressources budgétaires,Autres ressources intérieures,Intégration de ressources additionnelles C2D,1.898
2018,Réalisé,Ressources budgétaires,Autres ressources intérieures,Arriérés dividendes PETROCI
2018,Réalisé,Ressources budgétaires,Emprunts sur marchés monetaire et financier,,1591.485
2018,Réalisé,Ressources budgétaires,Ressources extérieures,Appuis budgétaires,395.293
2018,Réalisé,Ressources budgétaires,Ressources extérieures,Financement extérieur des projets,438.69100000000003
2018,Réalisé,Ressources budgétaires,Ressources extérieures,Restructuration de dettes,0.033
2018,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Fonds d'Investissements en Milieu Rural (FIMR) ,8.67
2018,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Transfert au Fonds d'Entretien Routier (FER),116.108
2018,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Recettes affectées aux collectivités,110.568
2018,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,TSU SIR,67.013
2018,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Autres recettes affectées et parafiscalité,308.8560000000002
2019,Réalisé,Ressources budgétaires,Recettes fiscales,DGI ,1901.6713
2019,Réalisé,Ressources budgétaires,Recettes fiscales,TRESOR,11.252
2019,Réalisé,Ressources budgétaires,Recettes fiscales,"DGD (hors PCS, PCC et SGS)",1549.0518
2019,Réalisé,Ressources budgétaires,Autres ressources intérieures,Privatisation et ventes d'actifs,0
2019,Réalisé,Ressources budgétaires,Autres ressources intérieures,Transfert des entreprises/dette rétrocédée,16.5746
2019,Réalisé,Ressources budgétaires,Autres ressources intérieures,Autres recettes non fiscales ,103.4595
2019,Réalisé,Ressources budgétaires,Autres ressources intérieures,Intégration de ressources additionnelles C2D,0.6611
2019,Réalisé,Ressources budgétaires,Autres ressources intérieures,Arriérés dividendes PETROCI,17.8879
2019,Réalisé,Ressources budgétaires,Emprunts sur marchés monetaire et financier,,2842.7239
