Année,Matière,Catégorie,Sous-catégorie,Statut,Valeur
2006,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1032.853
2006,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,108.653697
2006,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),3307.595949
2006,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,49.03
2007,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1468.958
2007,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),768.621
2007,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1077.35879
2007,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,106
2007,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),3543.91045
2007,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,36
2008,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1409.487
2008,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),794.212
2008,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1138.0202
2008,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,111
2008,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),3830.73166
2008,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,37
2009,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),984.310447
2009,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),880.596
2009,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1192.038
2009,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,116
2009,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),4099.03547
2009,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,40
2010,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1059.1
2010,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),985.755
2010,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1226.18
2010,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,137
2010,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),4216.43
2010,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,37
2011,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),942.272
2011,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),1392.589
2011,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1067
2011,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,232
2011,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),3398
2011,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,42
2012,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1191.958
2012,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3)
2012,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1307.598
2012,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,140
2012,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),4439.541
2012,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,38
2003,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),127.5025
2003,Bois,EXPORTATION,Bois de grume,Pix moyen  (F CFA /m3),151354.15059312564
2003,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3),356
2003,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3),368.953976
2003,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3),369341.7739967654
2004,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),145.855868
2004,Bois,EXPORTATION,Bois de grume,Prix moyen   (F CFA /m3),143529.83662611368
2004,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3),603
2004,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3),426.590024
2004,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3),375695.9960882723
2005,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),173.992
2005,Bois,EXPORTATION,Bois de grume,Prix moyen   (F CFA /m3),122540.11678697872
2005,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3),611
2005,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3),401.627
2005,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3),393305.2309730172
2006,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),111.354
2006,Bois,EXPORTATION,Bois de grume,Prix moyen   (F CFA /m3),111141.0456741563
2006,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3),585
2006,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3),396.477
2006,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3),374019.1738738943
2007,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),137.073778
2007,Bois,EXPORTATION,Bois de grume,Prix moyen   (F CFA /m3),121033
2007,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3),631
2007,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3),400.058247
2007,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3),383862
2008,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),148.9
2008,Bois,EXPORTATION,Bois de grume,Prix moyen   (F CFA /m3),119543.31766286098
2008,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3),670.00499
2008,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3),390.2
2008,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3),392362.8908252178
2009,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),155
2009,Bois,EXPORTATION,Bois de grume,Prix moyen   (F CFA /m3),119360
2009,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3),697.4531460711887
2009,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3),270.562203
2009,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3),365829.89484022243
