Année,Matière,Catégorie,Sous-catégorie,Statut,Valeur
2007,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),3648.752588598313
2008,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),69.3
2008,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),861.4718614718615
2008,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),7.7
2008,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),4194.805194805194
2009,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),85.853113
2009,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),738
2009,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),8.2
2009,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),4780.487805
2010,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),96.446
2010,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),871
2010,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),7.3307329999999995
2010,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),4839.144551146299
2011,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),32.373996
2011,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),714.894143497145
2011,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),6.461466
2011,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),4897.8012974145495
2012,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),81.973871
2012,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),942.9175488491936
2012,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),7.576352
2012,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),4885.018312639117
2003,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),84.811
2003,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),127.283017533103
2004,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),140.636
2004,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),175
2005,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),167.919
2005,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),176.8709913708395
2006,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),210.728
2006,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),175
2007,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),250.545
2007,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),180
2008,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),330
2008,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),118
2009,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),350
2009,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),124
2010,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),380
2010,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),180
2011,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),400
2011,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),275
2012,Cajou,PRODUCTION,Noix de Cajou,Quantité (1000 X tonne),450
2012,Cajou,PRODUCTION,Noix de Cajou,Prix moyen (FCFA/KG),250
2003,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),84.811
2003,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),300
2004,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),140.636
2004,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),256.86168548593537
2005,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),167.919
2005,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),310.04829709562347
2006,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),210.728
2006,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),226.41509433962264
2007,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),250.545
2007,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),194
2008,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),312.9
2008,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),250
2009,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),341.360139
2009,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),240.27882355356084
2010,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),351.107
2010,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),443
2011,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),279.809911
2011,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),459.2957049437752
2012,Cajou,EXPORTATION,Noix de Cajou,Quantité (1000 X tonne),412.328324
2012,Cajou,EXPORTATION,Noix de Cajou,Prix moyen (FCFA/KG),425.67969148294554
2003,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),115.621
2003,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),196
2004,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),136.776
2004,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),217
2005,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),134.802
2005,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),238
2006,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),178.256
2006,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),346
2007,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),188.5
2007,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),345
2008,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),203
2008,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),432
2009,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),209.523
2009,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),437
2010,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),231.451
2010,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),907
2011,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),238.717
2011,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),1277
2012,Caoutchouc,PRODUCTION,Caoutchouc sec,Quantité (1000 X tonne),256
2012,Caoutchouc,PRODUCTION,Caoutchouc sec,Prix moyen (FCFA/KG),950
2003,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),132.32
2003,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),585.5375101259547
2004,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),141.379
2004,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),596.948503568044
2005,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),158.386
2005,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),651.2718346346056
2006,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),174.873
2006,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),930.709651884046
2007,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),185.477
2007,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),779.812199025974
2008,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),203.465
2008,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),1096
2009,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),220.981
2009,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),745
2010,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),240.72
2010,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),1371
2011,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),231.15444
2011,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),2309.3117761429544
2012,Caoutchouc,EXPORTATION,Caoutchouc sec,Quantité (1000 X tonne),267.36808
2012,Caoutchouc,EXPORTATION,Caoutchouc sec,Prix moyen (FCFA/KG),1539.109921835097
2003,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix),200000
2003,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne),114.87564017601187
2003,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne),33
2003,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG),90
2004,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix),211180.124
2004,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne),121.29725968474786
2004,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne),34
2004,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG),100
2005,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix),216142.958
2005,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne),34.974
2005,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne),34.974
2005,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG),110
2006,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix),246478.873
2006,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne),126.818
2006,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne),39.912290619248395
2006,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG),49
2007,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix),208150.9
2007,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne),135.298
2007,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne),26.449
2007,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG),35
2008,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix),145705.643
2008,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne),94.7
2008,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne),23.143
2008,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG),59
2009,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix),145705
2009,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne),94.708
2009,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne),23.142897869782573
2009,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG),69
2010,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix),150816
2010,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne),77.598
2010,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne),23.955
2010,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG),116
2011,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix)
2011,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne)
2011,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne)
2011,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG)
2012,Coco,PRODUCTION,Noix de coco,Noix (1000 x noix)
2012,Coco,PRODUCTION,Noix de coco,Equivalent (1000x tonne)
2012,Coco,PRODUCTION,Coprah,Quantité (1000 X tonne)
2012,Coco,PRODUCTION,Coprah,Prix moyen (FCFA/KG)
2003,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix),15.364397
2003,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne),137.21456188615798
2003,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),17.479503
2003,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),79.91235784938576
2004,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix),18.689134
2004,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne),183.3298998765807
2004,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),13.275506
2004,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),86.17495082110939
2005,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix),20.485552
2005,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne),168.68497299950715
2005,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),22.830973
2005,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),87.37464614407804
2006,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix),19.476166
2006,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne),108.97436826118651
2006,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),16.745149
2006,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),74.49937280213257
2007,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix),19.210873
2007,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne),81.5676064278807
2007,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),18.862608
2007,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),81.90497634261392
2008,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix),23.26452
2008,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne),83.78112670200791
2008,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),17.80952
2008,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),90
2009,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix),16.81764
2009,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne),90
2009,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),19.660854
2009,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),105
2010,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix),21.222
2010,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne),83
2010,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),21.221643
2010,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),83
2011,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix)
2011,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne)
2011,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),23.942101
2011,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),105.49594557303054
2012,Coco,EXPORTATION,Noix de coco,Noix (1000 x noix)
2012,Coco,EXPORTATION,Noix de coco,Equivalent (1000x tonne)
2012,Coco,EXPORTATION,Coprah,Quantité (1000 X tonne),26.937163
2012,Coco,EXPORTATION,Coprah,Prix moyen (FCFA/KG),118.9306550953417
2003,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),396.417
2003,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),180
2003,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),171.929
2004,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),180.144
2004,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),200
2004,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),78.839
2005,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),321.286
2005,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),185
2005,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),139.14
2006,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),297
2006,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),170
2006,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),116.3
2007,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),278
2007,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),145
2007,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),63.5
2008,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),119.716
2008,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),150
2008,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),52.2
2009,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),123.138
2009,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),185
2009,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),52.808
2010,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),174.7
2010,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),175
2010,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),82.3
2011,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),255
2011,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),210
2011,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),76.503
2012,Coton,PRODUCTION,Coton masse ou Coton graine,Quantité (1000 X tonne),260.503
2012,Coton,PRODUCTION,Coton masse ou Coton graine,Prix moyen (F CFA/KG),265
2012,Coton,PRODUCTION,Coton égréné ou Fibre de coton,Quantité (1000 X tonne),112.016
2003,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),144.155
2003,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),715.500676355312
2003,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),73.157965
2003,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),34.54651272762986
2004,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),105.423
2004,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),772.753573698339
2004,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),52.131542
2004,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),47.02916309285461
2005,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),129.304
2005,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),570.03650312442
2005,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),51.417409
2005,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),51.37870762799425
2006,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),96.402
2006,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),612.6013983112383
2006,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),52.38937
2006,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),62.064308083872746
2007,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),79.6
2007,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),588
2007,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),34.737995
2007,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),47.37299625381373
2008,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),54.3
2008,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),661
2008,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),45.516396
2008,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),82.26783399107434
2009,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),48.732
2009,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),658.3900788881807
2009,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),8.17242
2009,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),94.08336943035233
2010,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),84.539864
2010,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),792.3849625069145
2010,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),36.132
2010,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),94
2011,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),70.169069
2011,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),926.3798461256483
2011,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),28.135124
2011,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),54.335661253883224
2012,Coton,EXPORTATION,Coton égréné ou fibre de coton,Quantité (1000 X tonne),115.594063
2012,Coton,EXPORTATION,Coton égréné ou fibre de coton,Prix moyen (FCFA/KG),983.7190118232975
2012,Coton,EXPORTATION,Graine de coton,Quantité (1000 X tonne),93.85777
2012,Coton,EXPORTATION,Graine de coton,Prix moyen (FCFA/KG),51.50760175742509
2003,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),25.054
2004,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),30.865
2005,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),25.474
2006,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),24.434
2007,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),37.5
2008,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),39.798
2009,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),42.232
2010,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),45.026
2011,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),46.96
2012,Mangue,PRODUCTION,Mangue,Quantité (1000 X tonne),48.979
2003,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),7.733098
2004,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),12.09132
2005,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),11.098
2006,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),15.374
2007,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),16.876768
2008,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),12.948845
2009,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),13.762723
2010,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),12.974
2011,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),13.531271709678851
2012,Mangue,EXPORTATION,Mangue,Quantité (1000 X tonne),14.113035712699327
2003,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),201.63264800213318
2004,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),212.796419745735
2005,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),254.82068841232652
2006,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),237.3487706517497
2007,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),226.76965477039207
2008,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),237
2009,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),235.05333741004597
2010,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),289
2011,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),205.1409836065574
2012,Mangue,EXPORTATION,Mangue,Prix moyen (FCFA/KG),209.0262295081967
2003,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1300.366
2004,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1564.34
2005,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1881.901
2006,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1429.187
2007,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1340.569
2008,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1424.0430000000001
2009,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1748.754
2010,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1754.6254948162095
2011,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1636
2012,Palme,PRODUCTION,Graine de palme en régime,Quantité (1000 X tonne),1841.767
2003,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG)
2004,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG)
2005,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG)
2006,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG)
2007,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG)
2008,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG),51.75
2009,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG),35.01
2010,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG),49.36
2011,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG),64.12
2012,Palme,PRODUCTION,Graine de palme en régime,Prix moyen national (FCFA/KG),62.69
2003,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),321.8
2004,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),200
2005,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),236.044
2006,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),297.188
2007,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),302.033
2008,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),302.033
2009,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),370.9027163379195
2010,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),360
2011,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),371
2012,Palme,PRODUCTION,Huile brute de palme,Quantité (1000 X tonne),417.77
2003,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),300
2004,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),305
2005,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),305
2006,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),305
2007,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),400
2008,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),395
2009,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),390
2010,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),393.0690039412605
2011,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),433.08913438286066
2012,Palme,PRODUCTION,Huile brute de palme,Prix moyen (FCFA/KG),412.586147951473
2003,Palme,EXPORTATION,Huile brute de palme,Quantité (1000 X tonne),78.2
2004,Palme,EXPORTATION,Huile brute de palme,Quantité (1000 X tonne),109.162
2005,Palme,EXPORTATION,Huile brute de palme,Quantité (1000 X tonne),121.985
2006,Palme,EXPORTATION,Huile brute de palme,Quantité (1000 X tonne),108.986
2007,Palme,EXPORTATION,Huile brute de palme,Quantité (1000 X tonne),89.4
2008,Palme,EXPORTATION,Huile brute de palme,Quantité (1000 X tonne),96.1
2009,Palme,EXPORTATION,Huile brute de palme,Quantité (1000 X tonne),99.731561
2010,Palme,EXPORTATION,Huile brute de palme,Quantité (1000 X tonne),69.089
