geometry,@id,Catégorie,Lieu,id
"{""type"":""Point"",""coordinates"":[-3.9901615,5.345805]}",node/3605638544,Arrêt de bus,Arrêt de bus électriques- Université,node/3605638544
"{""type"":""Point"",""coordinates"":[-4.0884501,5.3470567]}",node/3666057101,Arrêt de bus,Pharmacie Port-Bouet 2,node/3666057101
"{""type"":""Point"",""coordinates"":[-4.0734515,5.3493487]}",node/3950172145,Arrêt de bus,Ficgayo,node/3950172145
"{""type"":""Point"",""coordinates"":[-3.9973725,5.3616655]}",node/4029208102,Arrêt de bus,ENA,node/4029208102
"{""type"":""Point"",""coordinates"":[-3.9668949,5.276244]}",node/4107240493,Arrêt de bus,Gare de Wôrô Wôrô,node/4107240493
"{""type"":""Point"",""coordinates"":[-3.9787018,5.2742845]}",node/4107240891,Arrêt de bus,Pressing Bietry,node/4107240891
"{""type"":""Point"",""coordinates"":[-4.061373,5.3296306]}",node/4411562346,Arrêt de bus,Terminus Phalenes,node/4411562346
"{""type"":""Point"",""coordinates"":[-3.9439194,5.3133456]}",node/4659944490,Arrêt de bus,Koumassi terminus 05,node/4659944490
"{""type"":""Point"",""coordinates"":[-3.9810261,5.2745951]}",node/4782251624,Arrêt de bus,Rodrigue,node/4782251624
"{""type"":""Point"",""coordinates"":[-4.089632,5.3159469]}",node/4819697544,Arrêt de bus,Gare Azito,node/4819697544
"{""type"":""Point"",""coordinates"":[-4.0039133,5.3485183]}",node/4858065722,Arrêt de bus,Gare Plateau de la vie,node/4858065722
"{""type"":""Point"",""coordinates"":[-4.004071,5.2948647]}",node/4999458824,Arrêt de bus,Terminus CHU de Treichville,node/4999458824
"{""type"":""Point"",""coordinates"":[-4.01176,5.3022132]}",node/5057165424,Arrêt de bus,ex Pharmacie Mokey,node/5057165424
"{""type"":""Point"",""coordinates"":[-4.0039817,5.3369029]}",node/5057297311,Arrêt de bus,Cite Rouge Cocody,node/5057297311
"{""type"":""Point"",""coordinates"":[-3.9933103,5.4158358]}",node/5068855021,Arrêt de bus,Terminus Abobo Baoule,node/5068855021
"{""type"":""Point"",""coordinates"":[-3.940785,5.328322]}",node/5143730222,Arrêt de bus,Terminus 28-41-702,node/5143730222
"{""type"":""Point"",""coordinates"":[-4.0165052,5.4218733]}",node/5147952122,Arrêt de bus,"Gare de gbaka Dokui, Zoo, Paillet",node/5147952122
"{""type"":""Point"",""coordinates"":[-4.0160378,5.4215881]}",node/5151223622,Arrêt de bus,Gare Angré Pétro Ivoire,node/5151223622
"{""type"":""Point"",""coordinates"":[-4.0280581,5.3537326]}",node/5156837725,Arrêt de bus,Gare de wôrô-wôrô Treichville Marcory Koumassi,node/5156837725
"{""type"":""Point"",""coordinates"":[-4.0205264,5.3555889]}",node/5414376221,Arrêt de bus,Eglise Universelle,node/5414376221
"{""type"":""Point"",""coordinates"":[-4.0530042,5.3222796]}",node/5425049447,Arrêt de bus,Gare de Bingerville,node/5425049447
"{""type"":""Point"",""coordinates"":[-4.062361,5.3415108]}",node/5739489700,Arrêt de bus,Arret Complexe,node/5739489700
"{""type"":""Point"",""coordinates"":[-4.073208,5.3493427]}",node/5927302128,Arrêt de bus,Ficgayo,node/5927302128
"{""type"":""Point"",""coordinates"":[-4.1003725,5.3419853]}",node/5934409413,Arrêt de bus,Banque Atlantique,node/5934409413
"{""type"":""Point"",""coordinates"":[-4.1023177,5.3672637]}",node/5936892363,Arrêt de bus,Terminus Gesco,node/5936892363
"{""type"":""Point"",""coordinates"":[-3.967326,5.3802148]}",node/5953580661,Arrêt de bus,Pharmacie Val de Grace,node/5953580661
"{""type"":""Point"",""coordinates"":[-3.9586785,5.3695213]}",node/5953580666,Arrêt de bus,Pharmacie du bonheur,node/5953580666
"{""type"":""Point"",""coordinates"":[-3.9593077,5.3618751]}",node/5953580667,Arrêt de bus,Carrefour Palmeraie,node/5953580667
"{""type"":""Point"",""coordinates"":[-3.9767958,5.3358519]}",node/5954541438,Arrêt de bus,Ambassade des USA,node/5954541438
"{""type"":""Point"",""coordinates"":[-4.0024723,5.3492831]}",node/5954541440,Arrêt de bus,La Vie,node/5954541440
"{""type"":""Point"",""coordinates"":[-3.9820156,5.4121523]}",node/5957239660,Arrêt de bus,Angré Château,node/5957239660
"{""type"":""Point"",""coordinates"":[-3.9908227,5.4046007]}",node/5957239661,Arrêt de bus,Petro Ivoire Angré,node/5957239661
"{""type"":""Point"",""coordinates"":[-3.9915292,5.3989563]}",node/5957239662,Arrêt de bus,Pharmacie Angre,node/5957239662
"{""type"":""Point"",""coordinates"":[-3.9975968,5.3615936]}",node/5957239665,Arrêt de bus,ENA,node/5957239665
