PERIODE,STATUT,VILLE,DRENET,SEXE,EFFECTIF
2019-2020,PRIVE,ABIDJAN ,ABIDJAN 4,FEMININ,72433
2019-2020,PRIVE,ABOISSO,ABOISSO,FEMININ,10873
2019-2020,PRIVE,ADZOPE,ADZOPE,FEMININ,7878
2019-2020,PRIVE,AGBOVILLE,AGBOVILLE,FEMININ,15767
2019-2020,PRIVE,BONDOUKOU,BONDOUKOU,FEMININ,7242
2019-2020,PRIVE,BONGOUANOU,BONGOUANOU,FEMININ,7417
2019-2020,PRIVE,BOUAFLE,BOUAFLE,FEMININ,17417
2019-2020,PRIVE,BOUAKE ,BOUAKE 1,FEMININ,7859
2019-2020,PRIVE,BOUAKE ,BOUAKE 2,FEMININ,13550
2019-2020,PRIVE,BOUNA,BOUNA,FEMININ,941
2019-2020,PRIVE,BOUNDIALI,BOUNDIALI,FEMININ,3695
2019-2020,PRIVE,DABOU,DABOU,FEMININ,7966
2019-2020,PRIVE,DALOA,DALOA,FEMININ,41460
2019-2020,PRIVE,DAOUKRO,DAOUKRO,FEMININ,6014
2019-2020,PRIVE,DIMBOKRO,DIMBOKRO,FEMININ,3397
2019-2020,PRIVE,DIVO,DIVO,FEMININ,20962
2019-2020,PRIVE,DUEKOUE,DUEKOUE,FEMININ,16208
2019-2020,PRIVE,FERKESSEDOUGOU,FERKESSEDOUGOU,FEMININ,3224
2019-2020,PRIVE,GAGNOA,GAGNOA,FEMININ,19467
2019-2020,PRIVE,GUIGLO,GUIGLO,FEMININ,5557
2019-2020,PRIVE,KATIOLA,KATIOLA,FEMININ,3665
2019-2020,PRIVE,KORHOGO,KORHOGO,FEMININ,12978
2019-2020,PRIVE,MAN,MAN,FEMININ,12653
2019-2020,PRIVE,MANKONO,MANKONO,FEMININ,2432
2019-2020,PRIVE,MINIGNAN,MINIGNAN,FEMININ,179
2019-2020,PRIVE,ODIENNE,ODIENNE,FEMININ,1088
2019-2020,PRIVE,SAN-PEDRO,SAN-PEDRO,FEMININ,17517
2019-2020,PRIVE,SASSANDRA,SASSANDRA,FEMININ,5784
2019-2020,PRIVE,SEGUELA,SEGUELA,FEMININ,1751
2019-2020,PRIVE,SOUBRE,SOUBRE,FEMININ,23133
2019-2020,PRIVE,TOUBA,TOUBA,FEMININ,604
2019-2020,PRIVE,YAMOUSSOUKRO,YAMOUSSOUKRO,FEMININ,15793
2020-2021,PRIVE,ABENGOUROU,ABENGOUROU,FEMININ,8603
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 1,FEMININ,32350
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 2,FEMININ,40917
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 3,FEMININ,78235
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 4,FEMININ,78154
2020-2021,PRIVE,ABOISSO,ABOISSO,FEMININ,12755
2020-2021,PRIVE,ADZOPE,ADZOPE,FEMININ,8913
2020-2021,PRIVE,AGBOVILLE,AGBOVILLE,FEMININ,18599
2020-2021,PRIVE,BONDOUKOU,BONDOUKOU,FEMININ,8629
2020-2021,PRIVE,BONGOUANOU,BONGOUANOU,FEMININ,8330
2020-2021,PRIVE,BOUAFLE,BOUAFLE,FEMININ,20588
2020-2021,PRIVE,BOUAKE ,BOUAKE 1,FEMININ,8910
2020-2021,PRIVE,BOUAKE ,BOUAKE 2,FEMININ,16723
2020-2021,PRIVE,BOUNA,BOUNA,FEMININ,1329
2020-2021,PRIVE,BOUNDIALI,BOUNDIALI,FEMININ,4874
2020-2021,PRIVE,DABOU,DABOU,FEMININ,8794
2020-2021,PRIVE,DALOA,DALOA,FEMININ,49881
2020-2021,PRIVE,DAOUKRO,DAOUKRO,FEMININ,6201
2020-2021,PRIVE,DIMBOKRO,DIMBOKRO,FEMININ,3893
2020-2021,PRIVE,DIVO,DIVO,FEMININ,24436
2020-2021,PRIVE,DUEKOUE,DUEKOUE,FEMININ,19250
2020-2021,PRIVE,FERKESSEDOUGOU,FERKESSEDOUGOU,FEMININ,4306
2020-2021,PRIVE,GAGNOA,GAGNOA,FEMININ,22897
2020-2021,PRIVE,GUIGLO,GUIGLO,FEMININ,6606
2020-2021,PRIVE,KATIOLA,KATIOLA,FEMININ,5084
2020-2021,PRIVE,KORHOGO,KORHOGO,FEMININ,15733
2020-2021,PRIVE,MAN,MAN,FEMININ,14956
2020-2021,PRIVE,MANKONO,MANKONO,FEMININ,4073
2020-2021,PRIVE,MINIGNAN,MINIGNAN,FEMININ,224
2020-2021,PRIVE,ODIENNE,ODIENNE,FEMININ,1328
2020-2021,PRIVE,SAN-PEDRO,SAN-PEDRO,FEMININ,21290
2020-2021,PRIVE,SASSANDRA,SASSANDRA,FEMININ,7065
2020-2021,PRIVE,SEGUELA,SEGUELA,FEMININ,2090
2020-2021,PRIVE,SOUBRE,SOUBRE,FEMININ,29123
2020-2021,PRIVE,TOUBA,TOUBA,FEMININ,737
2020-2021,PRIVE,YAMOUSSOUKRO,YAMOUSSOUKRO,FEMININ,17643
